Round,Seed1,Team1,Team2,Seed2
2,1,Connecticut,Northwestern,9
2,2,Iowa St,Washington St,10
2,3,Illinois,Duquesne,11
2,4,Auburn,San Diego St,5
2,1,Purdue,TCU,9
2,2,Tennessee,Texas,7
2,3,Creighton,Oregon,11
2,4,Kansas,Gonzaga,5
2,1,Houston,Texas A&M,9
2,2,Marquette,Colorado,10
2,3,Kentucky,North Carolina St,11
2,4,Duke,Wisconsin,5
2,1,North Carolina,Mississippi St,8
2,2,Arizona,Nevada,10
2,3,Baylor,New Mexico,11
2,4,Alabama,Saint Marys,5
