Year,Round,Region Number,Region Name,Seed1,Team1,Team2,Seed2
2024,1,1,East,1,Gonzaga,Georgia St,16
2024,1,1,East,2,Duke,Cal St Fullerton,15
2024,1,1,East,3,Texas Tech,Montana St,14
2024,1,1,East,4,Arkansas,Vermont,13
2024,1,1,East,5,Connecticut,New Mexico St,12
2024,1,1,East,6,Alabama,Notre Dame,11
2024,1,1,East,7,Michigan St,Davidson,10
2024,1,1,East,8,Boise St,Memphis,9
2024,1,2,Midwest,1,Baylor,Norfolk St,16
2024,1,2,Midwest,2,Kentucky,Saint Peters,15
2024,1,2,Midwest,3,Purdue,Yale,14
2024,1,2,Midwest,4,UCLA,Akron,13
2024,1,2,Midwest,5,Saint Marys,Indiana,12
2024,1,2,Midwest,6,Texas,Virginia Tech,11
,1,2,Midwest,7,Murray St,San Francisco,10
2024,1,2,Midwest,8,North Carolina,Marquette,9
2024,1,3,South,1,Arizona,Wright St,16
2024,1,3,South,2,Villanova,Delaware,15
2024,1,3,South,3,Tennessee,Longwood,14
2024,1,3,South,4,Illinois,Chattanooga,13
2024,1,3,South,5,Houston,UAB,12
2024,1,3,South,6,Colorado St,Michigan,11
,1,3,South,7,Ohio St,Loyola Chicago,10
2024,1,3,South,8,Seton Hall,TCU,9
2024,1,4,West,1,Kansas,Texas Southern,16
2024,1,4,West,2,Auburn,Jacksonville St,15
2024,1,4,West,3,Wisconsin,Colgate,14
2024,1,4,West,4,Providence,South Dakota St,13
2024,1,4,West,5,Iowa,Richmond,12
2024,1,4,West,6,LSU,Iowa St,11
2024,1,4,West,7,USC,Miami FL,10
2024,1,4,West,8,San Diego St,Creighton,9
