Round,Seed1,Team1,Team2,Seed2
3,1,Connecticut,Auburn,4
3,2,Iowa St,Illinois,3
3,1,Purdue,Gonzaga,5
3,2,Tennessee,Creighton,3
3,1,Houston,Duke,4
3,2,Marquette,North Carolina St,11
3,8,Mississippi St,Alabama,4
3,2,Arizona,New Mexico,11
